"模块,表名,说明,字段列表"
"RSS&RDP业务,tb_FruitInfo,单次加工任务/批次主表，包含客户、果园、品种、时间等,CustomerID(int)；SysID(int)；MajorCustomerID(int)；ChainIdx(QString)；FBatchNo(QString)；CustomerName(QString)；FarmName(QString)；FruitName(QString)；SortBaseName(QString)；StartTime(QString)；EndTime(QString)；StartedState(QString)；CompletedState(QString)；BatchWeight(int)；BatchNumber(int)；QualityGradeSum(int)；WeightOrSizeGradeSum(int)；ExportSum(int)；ColorGradeName(QString)；ShapeGradeName(QString)；FlawGradeName(QString)；HardGradeName(QString)；DensityGradeName(QString)；SugarDegreeGradeName(QString)；ProgramName(QString)；FVisible(int)；PageSize(int)；PageIndex(int)；IsMerge(bool)；SortColumn(QString)；SortOrder(QString)"
"RSS&RDP业务,tb_GradeInfo,等级信息表，每个等级的箱数、个数、重量及品质/重量或尺寸名称,CustomerID(int)；GradeID(int)；BoxNumber(int)；FruitNumber(int)；FruitWeight(int)；QualityName(QString)；WeightOrSizeName(QString)；WeightOrSizeLimit(double)；SelectWeightOrSize(QString)；TraitWeightOrSize(QString)；TraitColor(QString)；TraitShape(QString)；TraitFlaw(QString)；TraitHard(QString)；TraitDensity(QString)；TraitSugarDegree(QString)；FPrice(float)；nSizeMax(double)；nSizeMin(double)"
"RSS&RDP业务,tb_ExportInfo,出口信息表，每个出口的果数、重量和出口名称,CustomerID(int)；ExportID(int)；FruitNumber(int)；FruitWeight(int)；ExitName(QString)"
"RSS&RDP业务,tb_Sys_FruitInfo,子系统维度的批次信息，记录系统ID、批次号、批次重量等,CustomerID(qint32)；SystemID(qint32)；BatchWeight(qint32)；BatchNumber(qint32)"
"RSS&RDP业务,tb_FruitProcessInfo,加工过程信息实体，实际运行时对应按年分表tb_fruitprocessinfo_YYYY,FID(int)；RealWeightCount(float)；RealWeightCountPer(float)；SeparationEfficiency(float)；SpeedPercent(float)；AvgWeight(float)；RunningDate(QString)"
"RSS&RDP业务,tb_UploadInfo,上传信息表，记录哪些数据已上传及状态,FID(int)；FType(QString)；FTableName(QString)；FCurrentRow(int)；FMaxUploadRow(int)"
"RSS&RDP业务,tb_RunningTimeInfo,运行时间记录表，记录运行日期、开始时间和停止时间,ID(int)；RunningDate(QString)；StartTime(QString)；StopTime(QString)"
"RSS&RDP业务,tb_SeparationEfficiencyInfo,分选效率记录表，按日期和时间记录效率曲线,ID(int)；EfficiencyValue(QString)；CurrentDate(QString)；CurrentTime(QString)"
"RSS&RDP业务,tb_PriceInfo,价格信息表，每个等级对应价格，用于价格统计和报表,FID(int)；Price(double)；PriceName(QString)"
"RSS&RDP业务,tb_Base_Fault,基础故障模板表，存放故障码和描述,FID(int)；FType(int)；FCode(QString)；FName(QString)；FGroupName(QString)；FMessage(QString)；FShutdownCondition(int)；FDecelerationCondition(int)；FPopupCondition(int)；FPromptCondition(int)；FExitid(int)；FDuration(int)；FCreateDate(QDateTime)；FModifyDate(QDateTime)；FStatus(int)；FOccurDate(QDateTime)"
"RSS&RDP业务,tb_FaultInfo,实际故障信息表，记录故障发生时间、状态和消息,FID(int)；FType(int)；FCode(QString)；FName(QString)；FMessage(QString)；FStatus(int)；FBeginDate(QDateTime)；FEndDate(QDateTime)"
"RSS&RDP业务,tb_ClientInfo,客户端信息表，FCode 对应多个 FName 记录,FID(int)；FCode(QString)；FName(QString)；FCreateDate(QDateTime)；FModifyDate(QDateTime)；FIsCurrent(bool)"
"RSS&RDP业务,tb_Customer,客户/账号信息表，记录登录名、密码、编码和是否启用,FID(int)；FName(QString)；FPassWord(QString)；FCode(QString)；FIsUse(QString)；FCreateDate(QDateTime)"
"RSS&RDP业务,tb_Sys_Configs,系统配置中心表，字段含模块名、类型、值、可见性和类型描述,FID(int)；FModuleName(QString)；FType(QString)；FValue(QString)；FCreateDate(QDateTime)；FVisible(int)；FEnType(QString)；FValueType(int)；FValueTypeDetail(QString)；FZhType(QString)"
"RSS&RDP业务,tb_SqlInfo,SQL脚本执行记录表，用于记录脚本是否执行和执行时间,FID(int)；FName(QString)；FIsExecute(bool)；FExecuteDate(QDateTime)；FIsInit(bool)；FInitDate(QDateTime)"
"RSS&RDP业务,tb_UpdateVersion,版本更新信息表，记录版本号、说明和下载信息,FDeviceType(QString)；FFile(QString)；FType(int)；FProject(QString)；FVersion(QString)；FZHDescribe(QString)；FENDescribe(QString)；FIsEncryption(bool)；FLevel(int)；FStrFileData(QString)；FFileData(QByteArray)"
"RSS&RDP业务,tb_FileInfo,文件信息表，用于记录升级包或报表文件等,FileName(QString)；Url(QString)；DirectoryName(QString)；LastWriteTime(QDateTime)"
"RSS&RDP业务,tb_FTPInfo,FTP配置表，记录地址、端口、用户名和密码,FtpIp(QString)；FtpPort(qint32)；FtpUserName(QString)；FtpPassword(QString)"
